ID;PACKAGE_NAME;LOG_ID;EVENT;EVENT_TYPE;EVENT_DESCRIPTION;TIMESTAMP
1573;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;UPDATED-SR (SR.SRCWO);CNT= 2511;2024-12-20-04.37.33.407000
1574;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;NOMATCH-SR-WOREF;CNT= 17;2024-12-20-04.41.04.405000
1575;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;UPDATED-WO (SR.WOREF);CNT= 94237;2024-12-20-04.41.05.436000
1576;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;UPDATED-WO (WO.REQNO);CNT= 0;2024-12-20-04.41.11.601000
1577;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;NOMATCH-WO-REQNO;CNT= 123;2024-12-20-04.41.11.633000
1578;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;UPDATED-WO (WO.PREVWO);CNT= 0;2024-12-20-04.41.31.704000
1579;DB2_0407_WO_RelatedRecord_CLEAN;1129;RELATED-RECORD;NOMATCH-WO-PREVWO;CNT= 4818;2024-12-20-04.41.32.130000
1597;DB2_0408_WO_WPLabor_WPMaterial_CLEAN;1131;WPLABOR-NOMATCH-WO;LOG;CNT=0;2024-12-20-04.53.50.038951
1598;DB2_0408_WO_WPLabor_WPMaterial_CLEAN;1131;WPMaterial;NOMATCH-WO;CNT=126495;2024-12-20-04.55.09.146000
1599;DB2_0408_WO_WPLabor_WPMaterial_CLEAN;1131;WPMaterial;MIGRATED;CNT=8744;2024-12-20-04.55.09.239000
1600;DB2_0408_WO_WPLabor_WPMaterial_CLEAN;1131;WPMaterial;NOMATCH-ITEM;CNT=0;2024-12-20-04.55.09.239000
1601;DB2_0409_WO_MATUSETRANS_CLEAN;1135;MATUSETRANS;MIGRATED;CNT=135239;2024-12-20-04.57.30.582000
1602;DB2_0409_WO_MATUSETRANS_CLEAN;1135;MATUSETRANS;NOMATCH-ITEM;CNT=0;2024-12-20-04.57.30.598000
1603;DB2_0410_WO_MULTIASSETLOCCI_CLEAN;1137;MULTIASSETLOCCI;MIGRATED;CNT=0;2024-12-20-04.58.25.269000
1604;DB2_0602_LD_Asset_CLEAN;1140;LD;INVALID;CNT=25800;2024-12-20-05.19.25.273000
1605;DB2_0602_LD_Asset_CLEAN;1140;LD;HAS-ATTACHMENT;CNT=0;2024-12-20-05.19.25.429000
1606;DB2_0602_LD_Asset_CLEAN;1140;LD;NOMATCH-ASSET;CNT=0;2024-12-20-05.19.25.445000
1607;DB2_0602_LD_Asset_CLEAN;1140;LD;MIGRATED;CNT=123852;2024-12-20-05.19.25.539000
1608;DB2_0603_LD_Contract_CLEAN;1144;CONTRACTTERM;NOMATCH-CONTRACT;CNT=0;2024-12-20-05.21.34.552000
